id,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,classe,desemprego,Pop_ativa_est_2009,estimat_pop_desemprego
2259,239,BAHIA,Várzea da Roça,2010,45801.265625,15171,3019,1,8.5,9937,845
4041,240,BAHIA,Várzea do Poço,2010,34246.515625,8992,3808.55004883,1,9.3,5485,510
3758,241,BAHIA,Várzea Nova,2010,53921.52734375,14365,3753.66992188,1,10,9409,941
2681,242,BAHIA,Varzedo,2010,39785.59765625,9451,4209.66992188,1,8,6190,495
3081,243,BAHIA,Vera Cruz,2010,207724.953125,37539,5533.58007812,1,10.2,24588,2508
1351,244,BAHIA,Vereda,2010,48446.7578125,7346,6594.97998047,1,8.6,4812,414
1597,245,BAHIA,Vitória da Conquista,2010,3142676.75,318901,9854.70996094,2,8.8,208880,18381
4077,246,BAHIA,Wagner,2010,42085.7265625,8807,4778.66992188,1,10,6561,656
4348,247,BAHIA,Wanderley,2010,59737.21875,13252,4507.79003906,1,9.8,9873,968
3124,248,BAHIA,Wenceslau Guimarães,2010,144764.984375,24802,5836.83007812,1,10.2,17361,1771
791,249,BAHIA,Xique-Xique,2010,183536.203125,47470,3866.36010742,1,9.2,31093,2861
1990,250,SERGIPE,SANTA LUZIA DO ITANHY,2010,80919.0703125,13502,5993.12011719,1,7.6,8236,626
5560,251,RIO GRANDE DO SUL,Encantado,2010,411468.25,20530,20042.2890625,2,5.2,14371,747
2013,252,RIO GRANDE DO SUL,Roca Sales,2010,218504.484375,10468,20873.5703125,2,3.9,7328,286
3550,253,PERNAMBUCO,Recife,2010,24835340,1561659,15903.1796875,2,8.8,952612,83830
4229,254,SERGIPE,ARAUÁ,2010,63633.421875,12042,5284.29003906,1,7.3,8971,655
3524,255,RIO GRANDE DO SUL,Minas do Leão,2010,81327.3671875,8124,10010.75,2,5.4,5321,287
2880,256,BAHIA,Ribeira do Amparo,2010,46314.48046875,14621,3167.66992188,1,8.4,10235,860
666,257,BAHIA,Ribeira do Pombal,2010,244964.375,49263,4972.58007812,1,8.8,34484,3035
2030,258,BAHIA,Ribeirão do Largo,2010,63719.88671875,14528,4386.00976562,1,8.8,9516,837
827,259,BAHIA,Rio de Contas,2010,55162.2109375,13816,3992.62988281,1,9.4,8428,792
1999,260,RIO GRANDE DO SUL,Imigrante,2010,72431.109375,3125,23177.9609375,3,5.2,2047,106
1615,261,BAHIA,Mascote,2010,57532.8671875,16590,3467.91992188,1,9.7,12360,1199
3169,262,BAHIA,Mata de São João,2010,303156.75,39585,7658.37011719,1,10,27710,2771
3539,263,BAHIA,Matina,2010,33801.07421875,13245,2551.98999023,1,10.2,9272,946
1801,264,BAHIA,Medeiros Neto,2010,148739.390625,22752,6537.41992188,1,9.8,13879,1360
2000,265,BAHIA,Miguel Calmon,2010,107699.890625,27724,3884.7199707,1,9.1,16912,1539
2278,266,BAHIA,Milagres,2010,42632.4140625,12092,3525.66992188,1,9.9,7920,784
3264,267,RIO GRANDE DO SUL,São Sebastião do Caí,2010,354538.71875,21272,16666.91992188,2,5.6,15848,887
5452,268,RIO GRANDE DO SUL,Bom Princípio,2010,208189.875,11731,17746.99023438,2,5.2,8740,454
307,269,BAHIA,Santaluz,2010,129238.140625,35416,3649.14990234,1,9.6,21604,2074
1759,270,BAHIA,Santa Luzia,2010,51422.97265625,15613,3293.60009766,1,9.9,9524,943
1036,271,BAHIA,Santa Maria da Vitória,2010,183714.421875,41758,4399.5,1,9.2,27351,2516
712,272,BAHIA,Santana,2010,116221.203125,27259,4263.58984375,1,8.8,19081,1679
4016,273,BAHIA,Santanópolis,2010,29150.2734375,9643,3022.94995117,1,8.8,6316,556
134,274,BAHIA,Santa Rita de Cássia,2010,91663,27528,3329.81005859,1,9.5,19270,1831
4759,275,BAHIA,Santa Teresinha,2010,33876.703125,10546,3212.2800293,1,8.1,7857,636
719,276,BAHIA,Santo Amaro,2010,307409.65625,58387,5265.04003906,1,8.4,35616,2992
4589,277,BAHIA,Santo Antônio de Jesus,2010,835156.6875,88768,9408.30957031,1,9.1,54148,4927
999,278,BAHIA,Santo Estêvão,2010,264766.96875,46855,5650.77001953,1,8.2,34907,2862
858,279,BAHIA,São Desidério,2010,981035.875,27513,35657.1796875,3,8.1,19259,1560
5316,280,BAHIA,São Domingos,2010,43055.078125,9730,4424.97998047,1,9.3,7249,674
4301,281,BAHIA,São Félix,2010,70210.15625,16208,4331.81982422,1,9.4,10616,998
3150,282,BAHIA,São Félix do Coribe,2010,68296.671875,13504,5057.50976562,1,9.6,10060,966
4635,283,RIO GRANDE DO SUL,Salvador das Missões,2010,63773.171875,2671,23876.140625,3,4.4,1870,82
1398,284,RIO GRANDE DO SUL,Cândido Godói,2010,95233.1640625,6722,14167.37988281,2,4.4,4705,207
225,285,RIO GRANDE DO SUL,Westfalia,2010,67336.796875,2843,23685.11914062,3,4.4,2118,93
3545,286,RIO GRANDE DO SUL,São Valério do Sul,2010,25478.38085938,2729,9336.16015625,1,5.2,1665,87
2940,287,RIO GRANDE DO SUL,Alegria,2010,48344.25390625,4775,10124.45019531,2,3.3,3128,103
1266,288,RIO GRANDE DO SUL,Arambaré,2010,72357.953125,3929,18416.38085938,2,3.6,2750,99
2690,289,RIO GRANDE DO SUL,Encruzilhada do Sul,2010,216951.15625,25154,8624.91992188,1,4,18740,750
5416,290,RIO GRANDE DO SUL,Ilópolis,2010,54794.12890625,4331,12651.61035156,2,4.9,3032,149
5383,291,BAHIA,Mirangaba,2010,62113.2421875,18849,3295.31005859,1,9,12346,1111
3240,292,BAHIA,Mirante,2010,26649.9296875,8375,3182.08007812,1,10,6239,624
510,293,RIO GRANDE DO SUL,Harmonia,2010,73449.2734375,3785,19405.359375,2,3.4,2479,84
3367,294,RIO GRANDE DO SUL,São João do Polêsine,2010,35900.1484375,2782,12904.44042969,2,5.1,2073,106
3557,295,RIO GRANDE DO SUL,Ibirubá,2010,548263.9375,19358,28322.34960938,3,4.4,11808,520
4231,296,RIO GRANDE DO SUL,Santa Bárbara do Sul,2010,269983.96875,9164,29461.36914062,3,5,6415,321
432,297,RIO GRANDE DO SUL,São Vendelino,2010,28861.82617188,1891,15262.73046875,2,5.6,1324,74
3685,298,RIO GRANDE DO SUL,Alto Feliz,2010,27727.14453125,3067,9040.48046875,1,4,2285,91
5432,299,RIO GRANDE DO SUL,Canguçu,2010,545155,56064,9723.79980469,2,5.1,39245,2001
3499,300,RIO GRANDE DO SUL,Cerrito,2010,51965.35546875,6767,7679.22998047,1,3.6,4128,149
440,301,RIO GRANDE DO SUL,Capão do Leão,2010,318006.34375,24458,13002.13964844,2,3.8,17121,651
1179,302,RIO GRANDE DO SUL,Morro Redondo,2010,67334.1640625,6477,10395.88964844,2,3.7,4534,168
2590,303,RIO GRANDE DO SUL,Pelotas,2010,3847928,345181,11147.5703125,2,4,241627,9665
3178,304,RIO GRANDE DO SUL,Arroio do Padre,2010,26049.45507812,2882,9038.66992188,1,5.4,2147,116
1836,305,RIO GRANDE DO SUL,São Lourenço do Sul,2010,528960.375,43388,12191.40039062,2,4.3,28419,1222
1,306,RIO GRANDE DO SUL,Turuçu,2007,45723.875,4000,11430.96972656,2,4.9,2800,137
4834,307,RIO GRANDE DO SUL,Cristal,2010,93160.71875,7393,12601.20996094,2,4.2,4510,189
4632,308,RIO GRANDE DO SUL,Pantano Grande,2010,144975.21875,9794,14802.45019531,2,4.4,5974,263
1077,309,RIO GRANDE DO SUL,Amaral Ferrador,2010,61648.3125,6602,9337.8203125,1,4.5,4621,208
4899,310,RIO GRANDE DO SUL,Dom Feliciano,2010,155935,15300,10191.83007812,2,3.4,10710,364
530,311,RIO GRANDE DO SUL,Butiá,2010,198340.671875,20213,9812.53027344,2,4.6,13240,609
127,312,RIO GRANDE DO SUL,São Jerônimo,2010,281260.28125,21289,13211.53027344,2,5.1,15860,809
2404,313,RIO GRANDE DO SUL,Linha Nova,2010,19915.02148438,1516,13136.55957031,2,3.6,993,36
2442,314,RIO GRANDE DO SUL,Dom Pedro de Alcântara,2010,28221.046875,2851,9898.65039062,2,5.6,1996,112
1246,315,RIO GRANDE DO SUL,Mampituba,2010,27385.796875,2972,9214.59960938,1,5.4,1813,98
1209,316,RIO GRANDE DO SUL,São José dos Ausentes,2010,100045.2109375,3314,30188.66015625,3,4.9,2320,114
5005,317,RIO GRANDE DO SUL,Ipiranga do Sul,2010,44232.87890625,2029,21800.33007812,2,4.9,1238,61
1817,318,RIO GRANDE DO SUL,Coxilha,2010,79944.40625,2997,26674.81054688,3,4,1828,73
5284,319,RIO GRANDE DO SUL,Erebango,2010,42355.85546875,2936,14426.37988281,2,4.7,2055,97
2527,320,RIO GRANDE DO SUL,Mato Castelhano,2010,55210.82421875,2747,20098.58984375,2,5.6,1676,94
4128,321,RIO GRANDE DO SUL,Getúlio Vargas,2010,230666.703125,16345,14112.37011719,2,5,11442,572
2230,322,RIO GRANDE DO SUL,Vila Lângaro,2010,38823.68359375,2293,16931.390625,2,5.4,1502,81
3519,323,RIO GRANDE DO SUL,Ivoti,2010,364619.03125,20160,18086.25976562,2,5.7,15019,856
652,324,RIO GRANDE DO SUL,Putinga,2010,65779.6953125,4242,15506.75976562,2,3.9,2969,116
5181,325,RIO GRANDE DO SUL,Relvado,2010,25592.65039062,2244,11404.91992188,2,4.2,1672,70
278,326,RIO GRANDE DO SUL,Anta Gorda,2010,92337.53125,6326,14596.50976562,2,3.9,4144,162
3511,327,RIO GRANDE DO SUL,Guaporé,2010,334787.625,22589,14820.83007812,2,4.3,14796,636
